Using cuda for training.
Training:Epoch[000/030] Iteration[001/454] Loss: 0.7637 Acc:49.85%
Training:Epoch[000/030] Iteration[002/454] Loss: 4.8888 Acc:49.33%
Training:Epoch[000/030] Iteration[003/454] Loss: 2.2801 Acc:47.71%
Training:Epoch[000/030] Iteration[004/454] Loss: 0.7405 Acc:48.09%
Training:Epoch[000/030] Iteration[005/454] Loss: 0.8112 Acc:48.24%
Training:Epoch[000/030] Iteration[006/454] Loss: 0.7782 Acc:48.54%
Training:Epoch[000/030] Iteration[007/454] Loss: 0.7529 Acc:48.81%
Training:Epoch[000/030] Iteration[008/454] Loss: 0.7298 Acc:49.02%
Training:Epoch[000/030] Iteration[009/454] Loss: 0.7150 Acc:49.23%
Training:Epoch[000/030] Iteration[010/454] Loss: 0.7048 Acc:49.41%
Training:Epoch[000/030] Iteration[011/454] Loss: 0.6906 Acc:49.56%
Training:Epoch[000/030] Iteration[012/454] Loss: 0.6907 Acc:50.11%
Training:Epoch[000/030] Iteration[013/454] Loss: 0.6857 Acc:50.71%
Training:Epoch[000/030] Iteration[014/454] Loss: 0.6821 Acc:51.26%
Training:Epoch[000/030] Iteration[015/454] Loss: 0.7377 Acc:51.42%
Training:Epoch[000/030] Iteration[016/454] Loss: 0.7242 Acc:51.52%
Training:Epoch[000/030] Iteration[017/454] Loss: 0.7021 Acc:51.48%
Training:Epoch[000/030] Iteration[018/454] Loss: 0.6906 Acc:51.41%
Training:Epoch[000/030] Iteration[019/454] Loss: 0.7023 Acc:51.38%
Training:Epoch[000/030] Iteration[020/454] Loss: 0.7082 Acc:51.28%
Training:Epoch[000/030] Iteration[021/454] Loss: 0.6899 Acc:51.25%
Training:Epoch[000/030] Iteration[022/454] Loss: 0.7079 Acc:51.17%
Training:Epoch[000/030] Iteration[023/454] Loss: 0.6899 Acc:51.13%
Training:Epoch[000/030] Iteration[024/454] Loss: 0.6815 Acc:51.18%
Training:Epoch[000/030] Iteration[025/454] Loss: 0.6864 Acc:51.48%
Training:Epoch[000/030] Iteration[026/454] Loss: 0.6719 Acc:51.91%
Training:Epoch[000/030] Iteration[027/454] Loss: 0.6663 Acc:52.29%
Training:Epoch[000/030] Iteration[028/454] Loss: 0.6720 Acc:52.62%
Training:Epoch[000/030] Iteration[029/454] Loss: 0.6476 Acc:52.98%
Training:Epoch[000/030] Iteration[030/454] Loss: 0.6483 Acc:53.37%
Training:Epoch[000/030] Iteration[031/454] Loss: 0.6478 Acc:53.66%
Training:Epoch[000/030] Iteration[032/454] Loss: 0.6430 Acc:53.96%
Training:Epoch[000/030] Iteration[033/454] Loss: 0.6361 Acc:54.26%
Training:Epoch[000/030] Iteration[034/454] Loss: 0.6155 Acc:54.62%
Training:Epoch[000/030] Iteration[035/454] Loss: 0.6135 Acc:55.00%
Training:Epoch[000/030] Iteration[036/454] Loss: 0.5926 Acc:55.39%
Training:Epoch[000/030] Iteration[037/454] Loss: 0.5832 Acc:55.80%
Training:Epoch[000/030] Iteration[038/454] Loss: 0.5705 Acc:56.22%
Training:Epoch[000/030] Iteration[039/454] Loss: 0.5694 Acc:56.59%
Training:Epoch[000/030] Iteration[040/454] Loss: 0.5599 Acc:56.95%
Training:Epoch[000/030] Iteration[041/454] Loss: 0.5350 Acc:57.34%
Training:Epoch[000/030] Iteration[042/454] Loss: 0.5554 Acc:57.68%
Training:Epoch[000/030] Iteration[043/454] Loss: 0.5337 Acc:58.05%
Training:Epoch[000/030] Iteration[044/454] Loss: 0.5186 Acc:58.41%
Training:Epoch[000/030] Iteration[045/454] Loss: 0.5088 Acc:58.79%
Training:Epoch[000/030] Iteration[046/454] Loss: 0.4998 Acc:59.16%
Training:Epoch[000/030] Iteration[047/454] Loss: 0.4901 Acc:59.52%
Training:Epoch[000/030] Iteration[048/454] Loss: 0.5032 Acc:59.85%
Training:Epoch[000/030] Iteration[049/454] Loss: 0.4991 Acc:60.17%
Training:Epoch[000/030] Iteration[050/454] Loss: 0.5020 Acc:60.48%
Training:Epoch[000/030] Iteration[051/454] Loss: 0.4714 Acc:60.81%
Training:Epoch[000/030] Iteration[052/454] Loss: 0.4977 Acc:61.10%
Training:Epoch[000/030] Iteration[053/454] Loss: 0.4710 Acc:61.42%
Training:Epoch[000/030] Iteration[054/454] Loss: 0.4629 Acc:61.73%
Training:Epoch[000/030] Iteration[055/454] Loss: 0.4494 Acc:62.06%
Training:Epoch[000/030] Iteration[056/454] Loss: 0.4642 Acc:62.34%
Training:Epoch[000/030] Iteration[057/454] Loss: 0.4418 Acc:62.64%
Training:Epoch[000/030] Iteration[058/454] Loss: 0.4514 Acc:62.91%
Training:Epoch[000/030] Iteration[059/454] Loss: 0.4471 Acc:63.19%
Training:Epoch[000/030] Iteration[060/454] Loss: 0.4615 Acc:63.45%
Training:Epoch[000/030] Iteration[061/454] Loss: 0.4475 Acc:63.71%
Training:Epoch[000/030] Iteration[062/454] Loss: 0.4507 Acc:63.95%
Training:Epoch[000/030] Iteration[063/454] Loss: 0.4418 Acc:64.21%
Training:Epoch[000/030] Iteration[064/454] Loss: 0.4421 Acc:64.45%
Training:Epoch[000/030] Iteration[065/454] Loss: 0.4330 Acc:64.69%
Training:Epoch[000/030] Iteration[066/454] Loss: 0.4243 Acc:64.93%
Training:Epoch[000/030] Iteration[067/454] Loss: 0.4410 Acc:65.15%
Training:Epoch[000/030] Iteration[068/454] Loss: 0.4231 Acc:65.37%
Training:Epoch[000/030] Iteration[069/454] Loss: 0.4316 Acc:65.59%
Training:Epoch[000/030] Iteration[070/454] Loss: 0.4198 Acc:65.81%
Training:Epoch[000/030] Iteration[071/454] Loss: 0.4259 Acc:66.02%
Training:Epoch[000/030] Iteration[072/454] Loss: 0.3982 Acc:66.26%
Training:Epoch[000/030] Iteration[073/454] Loss: 0.4129 Acc:66.47%
Training:Epoch[000/030] Iteration[074/454] Loss: 0.4346 Acc:66.66%
Training:Epoch[000/030] Iteration[075/454] Loss: 0.4306 Acc:66.85%
Training:Epoch[000/030] Iteration[076/454] Loss: 0.4038 Acc:67.05%
Training:Epoch[000/030] Iteration[077/454] Loss: 0.4135 Acc:67.25%
Training:Epoch[000/030] Iteration[078/454] Loss: 0.3982 Acc:67.44%
Training:Epoch[000/030] Iteration[079/454] Loss: 0.4017 Acc:67.62%
Training:Epoch[000/030] Iteration[080/454] Loss: 0.4056 Acc:67.79%
Training:Epoch[000/030] Iteration[081/454] Loss: 0.3931 Acc:67.98%
Training:Epoch[000/030] Iteration[082/454] Loss: 0.3920 Acc:68.16%
Training:Epoch[000/030] Iteration[083/454] Loss: 0.3843 Acc:68.34%
Training:Epoch[000/030] Iteration[084/454] Loss: 0.3717 Acc:68.53%
Training:Epoch[000/030] Iteration[085/454] Loss: 0.3796 Acc:68.70%
Training:Epoch[000/030] Iteration[086/454] Loss: 0.3878 Acc:68.87%
Training:Epoch[000/030] Iteration[087/454] Loss: 0.3615 Acc:69.05%
Training:Epoch[000/030] Iteration[088/454] Loss: 0.3909 Acc:69.20%
Training:Epoch[000/030] Iteration[089/454] Loss: 0.3610 Acc:69.37%
Training:Epoch[000/030] Iteration[090/454] Loss: 0.3770 Acc:69.53%
Training:Epoch[000/030] Iteration[091/454] Loss: 0.3860 Acc:69.69%
Training:Epoch[000/030] Iteration[092/454] Loss: 0.3824 Acc:69.83%
Training:Epoch[000/030] Iteration[093/454] Loss: 0.3914 Acc:69.98%
Training:Epoch[000/030] Iteration[094/454] Loss: 0.4059 Acc:70.09%
Training:Epoch[000/030] Iteration[095/454] Loss: 0.4344 Acc:70.20%
Training:Epoch[000/030] Iteration[096/454] Loss: 0.4032 Acc:70.32%
Training:Epoch[000/030] Iteration[097/454] Loss: 0.3457 Acc:70.48%
Training:Epoch[000/030] Iteration[098/454] Loss: 0.3646 Acc:70.61%
Training:Epoch[000/030] Iteration[099/454] Loss: 0.3615 Acc:70.75%
Training:Epoch[000/030] Iteration[100/454] Loss: 0.3432 Acc:70.90%
Training:Epoch[000/030] Iteration[101/454] Loss: 0.3576 Acc:71.03%
Training:Epoch[000/030] Iteration[102/454] Loss: 0.3359 Acc:71.17%
Training:Epoch[000/030] Iteration[103/454] Loss: 0.3294 Acc:71.31%
Training:Epoch[000/030] Iteration[104/454] Loss: 0.3458 Acc:71.45%
Training:Epoch[000/030] Iteration[105/454] Loss: 0.3323 Acc:71.59%
Training:Epoch[000/030] Iteration[106/454] Loss: 0.3216 Acc:71.73%
Training:Epoch[000/030] Iteration[107/454] Loss: 0.3248 Acc:71.86%
Training:Epoch[000/030] Iteration[108/454] Loss: 0.3064 Acc:72.00%
Training:Epoch[000/030] Iteration[109/454] Loss: 0.3075 Acc:72.14%
